42421728,42432736,0,secondary,85.977
42421728,42435337,0,secondary,85.559
42421728,42421731,0,secondary,137.823
42421731,42437916,0,residential,84.572
42421731,42432737,0,residential,86.442
42421731,42421728,0,secondary,137.823
42421731,42421737,0,secondary,135.105
42421737,42437917,1,primary,85.233
42421737,42421741,0,secondary,272.632
42421737,42421731,0,secondary,135.105
42421741,42432756,1,primary,85.896
42421741,42421737,0,secondary,272.632
42421741,1061531654,0,secondary,200.545
42421745,42428751,1,primary,95.652
42421745,42421749,0,secondary,54.85
42421745,1061531654,0,secondary,20.291
42421749,42421751,0,residential,143.557
42421749,42431118,0,secondary,87.193
42421749,42421745,0,secondary,54.85
42421751,42421749,0,residential,143.557
42421751,42432764,1,residential,85.318
42421769,42443347,1,primary,86.235
42421772,42421769,1,residential,273.469
42421772,42442469,1,primary,80.648
42421775,1061531525,1,residential,17.096
42421775,42428653,1,primary,86.208
42421776,42421775,1,residential,105.553
42421776,42431024,0,secondary,79.65
42421776,42431019,0,secondary,86.364
42421778,42421776,1,residential,128.513
42421778,42422592,0,secondary,87.758
42421778,42441587,0,secondary,81.113
42421783,1764387326,0,primary,38.566
42421783,1764387321,0,primary,42.448
42421783,42427782,1,residential,250.24
42421785,42443520,0,residential,201.182
42421785,42421786,1,tertiary,239.745
42421786,42421791,1,tertiary,127.585
42421791,42448930,1,residential,90.62
42421791,4814440062,1,tertiary,215.959
42421800,42424851,0,secondary,80.626
42421800,42435308,0,secondary,80.05
42421803,42437300,1,primary,80.077
42421803,42421800,1,residential,270.969
42421806,42421803,1,residential,273.35
42421806,42442475,1,primary,81.135
42421809,1061531683,1,residential,16.91
42421809,42428663,1,primary,80.135
42421810,42421809,1,residential,109.518
42421810,42431034,0,secondary,80.074
42421810,42431030,0,secondary,80.125
42421820,42421810,1,residential,216.044
42421820,42437312,0,secondary,88.268
42421820,42441569,0,secondary,85.097
42421828,42430942,0,residential,101.45
42421828,42430938,0,residential,127.634
42421852,42442584,0,secondary,96.976
42421852,561035342,0,residential,269.039
